1,0
1,236
2,34
3,0
4,0
4,204
5,236
6,34
6,226
7,192
7,252
8,0
10,34
11,240
12,204
13,192
13,252
14,34
14,240
18,90
19,0
19,204
22,146
23,128
23,204
23,254
24,48
26,90
28,200
28,252
29,200
29,204
32,0
32,128
33,132
33,236
34,170
36,0
36,4
37,236
38,34
40,0
40,128
41,148
42,34
42,170
43,170
43,240
44,12
46,34
50,204
50,254
54,50
56,240
56,254
57,254
58,254
72,0
72,4
74,34
76,204
77,128
77,204
77,254
94,90
104,4
104,128
106,170
108,76
122,90
122,254
126,90
128,0
128,128
130,34
132,128
132,204
134,162
134,226
136,0
136,136
138,34
138,170
140,204
142,170
142,240
146,90
152,48
154,90
156,136
156,200
156,252
160,128
162,128
162,170
164,90
164,128
168,128
168,136
168,170
172,34
178,128
178,204
178,254
184,170
184,240
184,254
200,0
200,204
232,128
232,204
232,254
