11,240,2,0,3
37,236,2,0,3
46,34,2,0,3
57,254,2,1,2
94,90,2,0,3
126,90,2,0,3
2,34,2,0,1
2,34,2,0,2
3,0,2,3,1
3,0,2,3,2
12,204,2,0,1
12,204,2,0,2
14,240,2,1,2
14,34,2,0,3
18,90,2,0,1
18,90,2,0,2
22,146,2,0,1
22,146,2,0,2
24,48,2,0,1
24,48,2,0,2
26,90,2,0,1
26,90,2,0,2
34,170,2,0,1
34,170,2,0,2
41,148,2,0,1
41,148,2,0,2
43,240,2,0,3
43,170,2,1,2
44,12,2,0,1
44,12,2,0,2
54,50,2,0,1
54,50,2,0,2
58,254,2,0,1
58,254,2,0,2
74,34,2,0,1
74,34,2,0,2
106,170,2,0,1
106,170,2,0,2
108,76,2,0,1
108,76,2,0,2
130,34,2,0,1
130,34,2,0,2
140,204,2,0,1
140,204,2,0,2
142,170,2,0,3
142,240,2,1,2
146,90,2,0,1
146,90,2,0,2
152,48,2,0,1
152,48,2,0,2
154,90,2,0,1
154,90,2,0,2
172,34,2,3,1
172,34,2,3,2
1,236,2,0,3
1,0,2,3,1
1,0,2,3,2
4,204,2,0,1
4,204,2,0,2
4,0,2,0,3
6,226,2,0,1
6,226,2,0,2
6,34,2,0,3
8,0,2,0,1
8,0,2,0,2
8,0,2,0,3
10,34,2,0,1
10,34,2,0,2
10,34,2,0,3
19,204,2,0,3
19,0,2,3,1
19,0,2,3,2
28,252,2,0,1
28,252,2,0,2
28,200,2,1,2
32,128,2,0,1
32,128,2,0,2
32,0,2,0,3
33,132,2,0,1
33,132,2,0,2
33,236,2,0,3
36,4,2,0,1
36,4,2,0,2
36,0,2,0,3
38,34,2,0,1
38,34,2,0,2
38,34,2,0,3
40,128,2,0,1
40,128,2,0,2
40,0,2,0,3
50,254,2,0,1
50,254,2,0,2
50,204,2,1,2
56,240,2,0,1
56,240,2,0,2
56,254,2,1,2
72,0,2,0,1
72,0,2,0,2
72,4,2,0,3
76,204,2,0,1
76,204,2,0,2
76,204,2,1,2
104,128,2,0,1
104,128,2,0,2
104,4,2,0,3
122,254,2,0,1
122,254,2,0,2
122,90,2,0,3
128,128,2,0,3
128,0,2,0,1
128,0,2,0,2
132,204,2,0,1
132,204,2,0,2
132,128,2,0,3
134,226,2,0,1
134,226,2,0,2
134,162,2,0,3
136,136,2,0,3
136,0,2,0,1
136,0,2,0,2
138,170,2,0,3
138,34,2,0,1
138,34,2,0,2
164,128,2,0,3
164,90,2,3,1
164,90,2,3,2
200,204,2,0,3
200,0,2,0,1
200,0,2,0,2
7,192,2,0,1
7,192,2,0,2
7,252,2,1,3
7,252,2,2,3
13,252,2,0,1
13,252,2,0,2
13,192,2,1,3
13,192,2,2,3
42,170,2,0,1
42,170,2,0,2
42,170,2,1,2
42,34,2,0,3
162,170,2,0,1
162,170,2,0,2
162,128,2,1,3
162,128,2,2,3
5,236,2,0,1
5,236,2,0,2
5,236,2,0,3
5,236,2,1,3
5,236,2,2,3
23,128,2,0,1
23,128,2,0,2
23,204,2,0,3
23,254,2,1,3
23,254,2,2,3
29,204,2,0,1
29,204,2,0,2
29,200,2,1,2
29,204,2,1,3
29,204,2,2,3
77,254,2,0,1
77,254,2,0,2
77,204,2,1,2
77,128,2,1,3
77,128,2,2,3
156,252,2,0,1
156,252,2,0,2
156,200,2,1,2
156,136,2,1,3
156,136,2,2,3
160,128,2,0,1
160,128,2,0,2
160,128,2,0,3
160,128,2,1,3
160,128,2,2,3
168,128,2,0,1
168,128,2,0,2
168,136,2,0,3
168,170,2,1,3
168,170,2,2,3
178,254,2,0,1
178,254,2,0,2
178,204,2,1,2
178,128,2,1,3
178,128,2,2,3
184,240,2,0,1
184,240,2,0,2
184,254,2,1,2
184,170,2,1,3
184,170,2,2,3
232,128,2,0,1
232,128,2,0,2
232,204,2,0,3
232,254,2,1,3
232,254,2,2,3
